    95/799     1.89G   0.02654    0.1077         0    0.1342       170       320    0.7526     0.961    0.9621    0.6876   0.02472   0.09307         0
    96/799     1.89G    0.0268    0.1096         0    0.1364       179       320    0.7485    0.9618    0.9624    0.7012   0.02409   0.09189         0
    97/799     1.89G   0.02676    0.1104         0    0.1371       134       320     0.756    0.9605    0.9639    0.6796   0.02397   0.09399         0
    98/799     1.89G   0.02531    0.1086         0     0.134       186       320    0.7788    0.9529    0.9614    0.6984   0.02373    0.0933         0
    99/799     1.89G   0.02555    0.1091         0    0.1347       123       320    0.7979    0.9459    0.9574    0.6897    0.0245   0.09312         0
   100/799     1.89G   0.02699     0.105         0     0.132       129       320    0.8132    0.9452    0.9621    0.6979   0.02402   0.09345         0
   101/799     1.89G   0.02588    0.1084         0    0.1343       260       320    0.7433    0.9675    0.9671    0.7108   0.02311   0.08853         0
   102/799     1.89G   0.02656    0.1096         0    0.1361       209       320    0.7558    0.9586     0.965    0.7073   0.02314   0.08927         0
   103/799     1.89G   0.02571    0.1063         0    0.1321       138       320    0.7814    0.9643    0.9671    0.7013   0.02364   0.08927         0
   104/799     1.89G   0.02607    0.1093         0    0.1354       209       320    0.6898    0.9567     0.954    0.6877   0.02318   0.09187         0
   105/799     1.89G   0.02473    0.1038         0    0.1285       130       320     0.731    0.9529    0.9512    0.6738   0.02516   0.09573         0
   106/799     1.89G   0.02645    0.1074         0    0.1339       228       320    0.7407    0.9592    0.9586     0.702   0.02339   0.08881         0
   107/799     1.89G   0.02539     0.103         0    0.1284       171       320    0.7574    0.9669    0.9679    0.7138    0.0236   0.08844         0
   108/799     1.89G   0.02514    0.1112         0    0.1364       196       320     0.788    0.9561    0.9652    0.7057    0.0236   0.09039         0
   109/799     1.89G   0.02566    0.1059         0    0.1316       276       320    0.8044     0.958    0.9657    0.7121   0.02271   0.08825         0
   110/799     1.89G    0.0249    0.1055         0    0.1304       176       320    0.7768    0.9554    0.9608    0.7005   0.02248   0.08839         0
   111/799     1.89G   0.02597    0.1112         0    0.1372       144       320    0.7341    0.9656     0.967    0.7118   0.02326   0.08837         0
   112/799     1.89G    0.0255    0.1051         0    0.1306       139       320    0.7266    0.9682    0.9677    0.7118   0.02196   0.08697         0
   113/799     1.89G   0.02466    0.1047         0    0.1293       148       320     0.742     0.965    0.9666    0.7042   0.02234   0.08876         0
   114/799     1.89G   0.02524    0.1067         0    0.1319       127       320    0.7453    0.9675    0.9667    0.7077   0.02336   0.08793         0
   115/799     1.89G   0.02459    0.1059         0    0.1305       114       320    0.7451     0.958    0.9612    0.6974   0.02313   0.09107         0
   116/799     1.89G   0.02457    0.1032         0    0.1278       173       320    0.7723    0.9611     0.962    0.7077   0.02226     0.089         0
